日期,郯城马陵山地震台 FHD2[6],安丘地震台 FHD2[1],菏泽地电台 FHD2[4],莒县陵阳地震台 FHD2[1],无棣大山地震台 FHD2[4],济南地震台 FHD2[1]
20140101,-1093.00000,-476.00000,-429.28000,-1090.06000,1404.86000,-12.76000
20140102,-1092.80000,-476.68000,-429.60000,-1090.94000,1404.90000,-14.22000
20140103,-1092.16000,-476.08000,-428.94000,-1090.74000,1404.78000,-14.04000
20140104,-1092.20000,-476.54000,-428.98000,-1090.82000,1402.84000,-14.62000
20140105,-1092.14000,-476.64000,-428.68000,-1091.04000,1403.04000,-14.56000
20140106,-1091.70000,-476.40000,-428.88000,-1090.70000,1402.90000,-14.34000
20140107,-1092.44000,-476.68000,-429.20000,-1091.02000,1403.22000,-14.52000
20140108,-1092.52000,-476.86000,-429.14000,-1090.72000,1403.00000,-14.82000
20140109,-1091.80000,-476.58000,-428.58000,-1090.36000,1404.52000,-14.22000
20140110,-1091.64000,-477.02000,-428.30000,-1090.26000,1403.26000,-14.58000
20140111,-1092.48000,-477.56000,-429.50000,-1091.28000,1402.02000,-15.38000
20140112,-1092.14000,-476.76000,-428.98000,-1090.56000,1403.68000,-14.12000
20140113,-1091.74000,-476.56000,-428.50000,-1090.88000,1404.00000,-14.66000
20140114,-1091.38000,-476.70000,-428.28000,-1090.22000,1403.30000,-14.18000
20140115,-1092.42000,-476.96000,-429.02000,-1091.04000,1403.38000,-14.90000
20140116,-1091.80000,-477.18000,-428.76000,-1090.84000,1402.56000,-14.72000
20140117,-1092.06000,-477.36000,-428.74000,-1090.92000,1402.56000,-14.66000
20140118,-1092.04000,-477.24000,-428.94000,99999.0,1402.72000,-14.80000
20140119,-1091.72000,-477.26000,-428.56000,-1090.80000,1402.26000,-15.02000
20140120,-1092.02000,-477.18000,-429.44000,-1091.02000,1402.28000,-14.88000
20140121,-1091.94000,-477.00000,-428.36000,-1090.54000,1403.34000,-14.14000
20140122,-1090.70000,-475.64000,-428.14000,-1090.86000,1405.96000,-14.20000
20140123,-1092.14000,-476.82000,-429.12000,-1090.50000,1402.62000,-14.62000
20140124,-1092.22000,-477.08000,-429.20000,-1091.42000,1402.06000,-15.12000
20140125,-1092.06000,-476.70000,-429.34000,-1090.84000,1402.74000,-15.14000
20140126,-1091.76000,-476.72000,-428.94000,-1090.60000,1403.58000,-14.62000
20140127,-1091.96000,-476.56000,-429.06000,-1090.24000,1403.18000,-14.60000
20140128,-1091.76000,-476.56000,-428.80000,-1090.56000,1403.08000,-14.64000
20140129,-1091.78000,-476.38000,-428.76000,-1090.26000,1403.18000,-14.34000
20140130,-1092.10000,-476.16000,-429.02000,-1090.58000,1402.58000,-14.52000
20140131,-1091.96000,-476.72000,-428.88000,-1090.94000,1402.08000,-14.76000
20140201,-1091.86000,-476.50000,-428.92000,-1090.76000,1401.64000,-14.72000
20140202,-1092.00000,-476.78000,-429.16000,-1090.56000,1401.90000,-14.80000
